Estimator,L,N_i,intercept,slope,r2_stage1,kappa_hat_naive
moment_quant_approx_intervals,1024,480,0.028937132092934605,0.0003150706516782895,0.8986497092541252,6.028569186028043e-05
moment_quant_approx_intervals,1025,480,0.02887897832284224,0.0003135190258103989,0.8930542565969233,6.0164538172588e-05
moment_quant_approx_intervals,1536,480,0.029031542774226985,0.00044788726719006733,0.8414074058182537,6.048238077963955e-05
moment_quant_approx_intervals,2046,480,0.029213217313842854,0.0005684982353953918,0.8561238364498633,6.086086940383928e-05
moment_quant_approx_intervals,2047,480,0.029142009128653196,0.0005681015378227924,0.8501984422654867,6.0712519018027494e-05
moment_quant_approx_intervals,2048,480,0.02919527018292537,0.0005715362725312827,0.8650825918250014,6.082347954776119e-05
moment_quant_approx_intervals,2049,480,0.02923966561628457,0.0006264977301247097,0.874583348227534,6.0915970033926186e-05
moment_quant_approx_intervals,4094,480,0.0296047158104421,0.001118787452432023,0.8776295255792133,6.167649127175437e-05
moment_quant_approx_intervals,4095,480,0.02930603276763999,0.0010602282034681432,0.8552741123087915,6.10542349325833e-05
moment_quant_approx_intervals,4096,480,0.029286452351822284,0.0010633821704303127,0.8552149843307255,6.101344239962976e-05
moment_quant_approx_intervals,8192,480,0.030170300003087777,0.0020985642158378825,0.8805916498673445,6.285479167309953e-05
