Dataset,Split,Number of samples,Series length,Estimator,Run,Runtime
BirdChicken,test,20,512,moment_quant_exact_intervals,4,0.01299716599896783
BirdChicken,train,20,512,quant_float64,7,0.032738874997448875
BirdChicken,test,20,512,quant_float64,7,0.03211408300194307
BirdChicken,train,20,512,moment_quant_approx_intervals,2,0.030770749999646796
BirdChicken,test,20,512,moment_quant_approx_intervals,2,0.02844770800220431
BirdChicken,train,20,512,moment_quant_approx_auto,6,0.026402165996842086
BirdChicken,test,20,512,moment_quant_approx_auto,6,0.025217458998668008
BirdChicken,train,20,512,moment_quant_approx_auto,8,0.026347667000663932
BirdChicken,test,20,512,moment_quant_approx_auto,8,0.02508187499915948
BirdChicken,train,20,512,quant_float64,8,0.03318595800010371
BirdChicken,test,20,512,quant_float64,8,0.030762542002776172
BirdChicken,train,20,512,moment_quant_exact_samples,7,0.005442042001959635
BirdChicken,test,20,512,moment_quant_exact_samples,7,0.004199250000965549
BirdChicken,train,20,512,moment_quant_exact_auto,4,0.005979916000796948
BirdChicken,test,20,512,moment_quant_exact_auto,4,0.005376624998461921
BirdChicken,train,20,512,quant_float64,2,0.030911334000848
BirdChicken,test,20,512,quant_float64,2,0.031566749999910826
BirdChicken,train,20,512,moment_quant_exact_samples,8,0.00549995799883618
BirdChicken,test,20,512,moment_quant_exact_samples,8,0.0043709160017897375
BirdChicken,train,20,512,moment_quant_approx_auto,3,0.027933375000429805
BirdChicken,test,20,512,moment_quant_approx_auto,3,0.024368791997403605
BirdChicken,train,20,512,moment_quant_exact_auto,2,0.005153082998731406
BirdChicken,test,20,512,moment_quant_exact_auto,2,0.004128291999222711
BirdChicken,train,20,512,moment_quant_approx_auto,1,0.027362582997739082
BirdChicken,test,20,512,moment_quant_approx_auto,1,0.025105000000621658
BirdChicken,train,20,512,moment_quant_approx_samples,5,0.026272125000105007
BirdChicken,test,20,512,moment_quant_approx_samples,5,0.024246959001175128
BirdChicken,train,20,512,moment_quant_approx_samples,2,0.028056207996996818
BirdChicken,test,20,512,moment_quant_approx_samples,2,0.02461024999865913
BirdChicken,train,20,512,moment_quant_approx_auto,4,0.026309124998078914
BirdChicken,test,20,512,moment_quant_approx_auto,4,0.024267708002298605
BirdChicken,train,20,512,moment_quant_approx_intervals,5,0.032106292001117254
BirdChicken,test,20,512,moment_quant_approx_intervals,5,0.02947654199670069
BirdChicken,train,20,512,moment_quant_exact_auto,7,0.006638750001002336
BirdChicken,test,20,512,moment_quant_exact_auto,7,0.0035045419972448144
BirdChicken,train,20,512,moment_quant_exact_samples,5,0.006470874999649823
BirdChicken,test,20,512,moment_quant_exact_samples,5,0.004083416999492329
BirdChicken,train,20,512,moment_quant_approx_intervals,7,0.0319174579999526
BirdChicken,test,20,512,moment_quant_approx_intervals,7,0.02945404199999757
BirdChicken,train,20,512,moment_quant_exact_intervals,3,0.01479233300051419
BirdChicken,test,20,512,moment_quant_exact_intervals,3,0.012997457997698803
BirdChicken,train,20,512,moment_quant_exact_auto,0,0.006364750002830988
BirdChicken,test,20,512,moment_quant_exact_auto,0,0.0035830829983751755
BirdChicken,train,20,512,moment_quant_exact_auto,1,0.006091457998991245
BirdChicken,test,20,512,moment_quant_exact_auto,1,0.0036714999987452757
BirdChicken,train,20,512,quant_float64,4,0.03253762500025914
BirdChicken,test,20,512,quant_float64,4,0.030806458002189174
BirdChicken,train,20,512,moment_quant_exact_samples,0,0.00529304099836736
BirdChicken,test,20,512,moment_quant_exact_samples,0,0.004690499998105224
BirdChicken,train,20,512,moment_quant_approx_samples,3,0.026452207999682287
BirdChicken,test,20,512,moment_quant_approx_samples,3,0.024634458997752517
BirdChicken,train,20,512,moment_quant_approx_samples,0,0.027397500001825392
BirdChicken,test,20,512,moment_quant_approx_samples,0,0.025149958997644717
BirdChicken,train,20,512,moment_quant_exact_samples,1,0.005225458000495564
BirdChicken,test,20,512,moment_quant_exact_samples,1,0.004513833002420142
BirdChicken,train,20,512,moment_quant_exact_samples,6,0.0067435420023684856
BirdChicken,test,20,512,moment_quant_exact_samples,6,0.0037205840017122682
BirdChicken,train,20,512,moment_quant_exact_samples,2,0.006057249996956671
BirdChicken,test,20,512,moment_quant_exact_samples,2,0.004319208001106745
BirdChicken,train,20,512,moment_quant_exact_intervals,5,0.014973624998674495
BirdChicken,test,20,512,moment_quant_exact_intervals,5,0.012670458996581146
BirdChicken,train,20,512,quant_float64,3,0.03262183299739263
BirdChicken,test,20,512,quant_float64,3,0.031142542000452522
BirdChicken,train,20,512,moment_quant_approx_auto,9,0.027353665998816723
BirdChicken,test,20,512,moment_quant_approx_auto,9,0.02593445800084737
BirdChicken,train,20,512,moment_quant_approx_intervals,8,0.03180025000256137
BirdChicken,test,20,512,moment_quant_approx_intervals,8,0.028492875000665663
BirdChicken,train,20,512,moment_quant_approx_auto,2,0.027095749999716645
