Dataset,Estimator,Accuracy,LengthBin,SeriesLength,TransformRuntime
InsectEPGRegularTrain,moment_quant_exact,1.0,Medium-long,601,0.1335462909992202
InsectEPGRegularTrain,quant,1.0,Medium-long,601,0.1965720000007422
InsectEPGSmallTrain,moment_quant_approx,1.0,Medium-long,601,0.0991655829966475
InsectEPGSmallTrain,moment_quant_exact,1.0,Medium-long,601,0.1028750000041327
InsectEPGSmallTrain,quant,1.0,Medium-long,601,0.17795441700218348
InsectWingbeatSound,moment_quant_approx,0.6475757575757576,Medium-short,256,0.1976524169986077
InsectWingbeatSound,moment_quant_exact,0.6565993265993266,Medium-short,256,0.2683687499993538
InsectWingbeatSound,quant,0.6565993265993266,Medium-short,256,0.39622666699870024
ItalyPowerDemand,moment_quant_approx,0.9632653061224491,Short,24,0.0205867919976298
ItalyPowerDemand,moment_quant_exact,0.9633624878522837,Short,24,0.0455959170030837
ItalyPowerDemand,quant,0.9612892776158082,Short,24,0.0183056249989021
KeplerLightCurves,moment_quant_approx,0.9587301587301588,Long,4767,1.7381160829972941
KeplerLightCurves,moment_quant_exact,0.9475355054302422,Long,4767,4.999989416002791
KeplerLightCurves,quant,0.9475355054302422,Long,4767,8.998547832998156
LargeKitchenAppliances,moment_quant_approx,0.8328888888888889,Medium-long,720,0.2056427909992635
LargeKitchenAppliances,moment_quant_exact,0.8776888888888889,Medium-long,720,0.15954595799485088
LargeKitchenAppliances,quant,0.8776888888888889,Medium-long,720,0.27318629100409453
Lightning2,moment_quant_approx,0.8032786885245902,Medium-long,637,0.0721360000025014
Lightning2,moment_quant_exact,0.7693989071038252,Medium-long,637,0.0819383339985506
Lightning2,quant,0.7693989071038252,Medium-long,637,0.1059487510028701
Lightning7,moment_quant_approx,0.7607305936073059,Medium-short,319,0.057210498998756396
Lightning7,moment_quant_exact,0.7465753424657534,Medium-short,319,0.0521767919999546
Lightning7,quant,0.7465753424657534,Medium-short,319,0.07554337499823299
Mallat,moment_quant_approx,0.971684434968017,Long,1024,0.7579986249984357
Mallat,moment_quant_exact,0.9618905472636816,Long,1024,1.5293524579974473
