Dataset,Split,Number of samples,Series length,Estimator,Run,Runtime
Wafer,train,1000,152,moment_quant_approx_auto,3,0.06781591699837008
Wafer,test,6164,152,moment_quant_approx_auto,3,0.49211366699819337
Wafer,train,1000,152,moment_quant_exact_samples,3,0.22057383300125366
Wafer,test,6164,152,moment_quant_exact_samples,3,1.3654234160021588
Wafer,train,1000,152,moment_quant_approx_samples,9,0.06719995899766218
Wafer,test,6164,152,moment_quant_approx_samples,9,0.35154958400016767
Wafer,train,1000,152,moment_quant_approx_intervals,3,0.08647766700232751
Wafer,test,6164,152,moment_quant_approx_intervals,3,0.5303870000025199
Wafer,train,1000,152,moment_quant_approx_samples,1,0.06718337500205962
Wafer,test,6164,152,moment_quant_approx_samples,1,0.3322921669969219
Wafer,train,1000,152,moment_quant_approx_intervals,4,0.08371145900309784
Wafer,test,6164,152,moment_quant_approx_intervals,4,0.48686979099875316
Wafer,train,1000,152,moment_quant_approx_auto,7,0.06724429200039594
Wafer,test,6164,152,moment_quant_approx_auto,7,0.501690665998467
Wafer,train,1000,152,moment_quant_exact_samples,2,0.22941400000127032
Wafer,test,6164,152,moment_quant_exact_samples,2,1.3838071249992936
Wafer,train,1000,152,moment_quant_approx_samples,5,0.06945316599740181
Wafer,test,6164,152,moment_quant_approx_samples,5,0.3338361669993901
Wafer,train,1000,152,moment_quant_exact_auto,7,0.06998324999949546
Wafer,test,6164,152,moment_quant_exact_auto,7,0.4367119999988063
Wafer,train,1000,152,moment_quant_approx_samples,4,0.06909058400196955
Wafer,test,6164,152,moment_quant_approx_samples,4,0.33467224999913014
Wafer,train,1000,152,moment_quant_exact_auto,0,0.06388591700306279
Wafer,test,6164,152,moment_quant_exact_auto,0,0.4177821250013949
Wafer,train,1000,152,moment_quant_exact_intervals,0,0.06953995799995027
Wafer,test,6164,152,moment_quant_exact_intervals,0,0.4432340000021213
Wafer,train,1000,152,moment_quant_approx_samples,0,0.07078962499872432
Wafer,test,6164,152,moment_quant_approx_samples,0,0.33824970799832954
Wafer,train,1000,152,moment_quant_approx_auto,4,0.06939945799967973
