l,Variant,Run,Runtime
4,keyvalue,24,6.114083400098025e-07
4,indirect,34,6.223591600064538e-07
2048,direct,37,2.343375000236847e-05
16384,keyvalue,29,0.0009228583599906415
16,direct,9,4.414541666847072e-07
256,direct,19,2.2950624997974954e-06
4,keyvalue,16,6.360375000076601e-07
4096,keyvalue,39,0.00017732915999658873
4,direct,7,3.614150000066729e-07
8,indirect,4,6.318241599728936e-07
1024,indirect,24,1.3488583997968818e-05
32768,indirect,8,0.002337583333276901
2048,direct,13,4.733207999379374e-05
16,keyvalue,22,6.856944333776482e-07
64,indirect,37,1.1066790999393562e-06
256,indirect,13,3.086167000219575e-06
16,direct,37,4.2870693329556767e-07
16384,indirect,34,0.0010816416799934814
4096,keyvalue,6,0.00017724291999911656
32,direct,5,5.123353999806568e-07
256,keyvalue,34,2.786916999866662e-06
2048,indirect,13,4.096416500033229e-05
64,indirect,10,1.115162499991129e-06
512,keyvalue,21,5.1809579999826385e-06
4194304,keyvalue,7,0.37568045899934077
32768,direct,33,0.0019080382500457442
1024,direct,36,9.4363339994743e-06
1048576,direct,2,0.08149041599972406
8,keyvalue,7,6.117375000030733e-07
4096,keyvalue,4,0.00013519209000151022
512,direct,2,4.505832999711856e-06
32768,direct,10,0.0019194409166326902
128,keyvalue,9,1.7058084002201212e-06
128,indirect,30,1.7765167998732068e-06
32,direct,10,4.800583000360348e-07
512,direct,8,4.547291999188019e-06
4194304,indirect,10,0.5008861250007612
512,indirect,12,6.089083000915707e-06
16,indirect,21,7.445471999744768e-07
512,indirect,7,6.1507500013249225e-06
4194304,indirect,11,0.5118000000002212
8192,keyvalue,32,0.00037825333998625865
1024,indirect,15,1.2717999998130836e-05
32,indirect,21,8.352833000571991e-07
4,direct,29,3.7252000001899435e-07
16,direct,29,4.464430666606252e-07
4,keyvalue,35,6.22579160008172e-07
4096,indirect,5,0.0001595945799999754
4,indirect,10,6.26404159993399e-07
4,direct,30,3.682299999854877e-07
16384,indirect,22,0.0010919583200302441
64,keyvalue,17,1.0250999999698252e-06
16384,direct,16,0.0008692266800062498
64,indirect,17,1.1012625000148547e-06
512,indirect,26,6.078042000808637e-06
32768,indirect,38,0.0024221875000876025
2048,direct,8,6.020021000040288e-05
256,direct,15,2.2125625000626314e-06
8,direct,32,3.751525000188849e-07
128,direct,24,1.213975000064238e-06
512,indirect,17,6.197291999342269e-06
512,keyvalue,22,5.230875000052038e-06
4,indirect,29,6.047458400280448e-07
8192,indirect,34,0.00048164750001888023
2048,direct,31,4.157187499913562e-05
16,indirect,32,6.995777999691199e-07
16,indirect,15,6.868236333199699e-07
256,direct,25,2.1973125003569292e-06
262144,indirect,1,0.023045521000312874
128,indirect,28,1.7143668002972845e-06
16,indirect,4,6.79119466682702e-07
8192,direct,13,0.00037384499999461697
262144,indirect,9,0.02304364599967812
32768,direct,1,0.0019340520833187231
8192,indirect,35,0.0005046233400207711
64,keyvalue,23,1.0053749998405692e-06
16,indirect,18,7.027041666636554e-07
512,keyvalue,15,5.6050410003081194e-06
2048,indirect,37,3.0319375000544823e-05
1024,keyvalue,9,1.1073167999711585e-05
16384,indirect,31,0.0011029466800391674
