Series length,Number of samples,Estimator,Runtime_multi,Runtime_per_sample
2048,1000,moment_quant_approx_intervals,0.5638190409990784,0.0005638190409990784
2048,3000,moment_quant_approx_intervals,1.8684592499994324,0.0006228197499998108
2048,10000,moment_quant_approx_intervals,8.836986583999533,0.0008836986583999533
4096,1,moment_quant_approx_intervals,0.0303427500002726,0.0303427500002726
4096,2,moment_quant_approx_intervals,0.0319950409975717,0.01599752049878585
4096,3,moment_quant_approx_intervals,0.0329909579995728,0.0109969859998576
4096,4,moment_quant_approx_intervals,0.0336317920009605,0.008407948000240126
4096,8,moment_quant_approx_intervals,0.0365049579995684,0.00456311974994605
4096,10,moment_quant_approx_intervals,0.0376835420029237,0.00376835420029237
4096,16,moment_quant_approx_intervals,0.0421572080012992,0.0026348255000812
4096,30,moment_quant_approx_intervals,0.0501779160003934,0.0016725972000131131
4096,32,moment_quant_approx_intervals,0.0542408330002217,0.0016950260312569281
4096,64,moment_quant_approx_intervals,0.0833192919999419,0.0013018639374990921
4096,100,moment_quant_approx_intervals,0.1088706660011666,0.001088706660011666
4096,300,moment_quant_approx_intervals,0.3026173750004091,0.0010087245833346969
4096,1000,moment_quant_approx_intervals,1.1695480000016687,0.0011695480000016687
4096,3000,moment_quant_approx_intervals,3.7506521250033984,0.0012502173750011329
4096,10000,moment_quant_approx_intervals,16.42003579199809,0.001642003579199809
8192,1,moment_quant_approx_intervals,0.0323931660022935,0.0323931660022935
8192,2,moment_quant_approx_intervals,0.0350300419995619,0.01751502099978095
8192,3,moment_quant_approx_intervals,0.0368827919992327,0.012294263999744233
8192,4,moment_quant_approx_intervals,0.0378170830008457,0.009454270750211425
8192,8,moment_quant_approx_intervals,0.0441184999981487,0.005514812499768588
8192,10,moment_quant_approx_intervals,0.0469208340000477,0.00469208340000477
8192,16,moment_quant_approx_intervals,0.0558389580000948,0.003489934875005925
8192,30,moment_quant_approx_intervals,0.0768942909999168,0.00256314303333056
8192,32,moment_quant_approx_intervals,0.0794964999986405,0.0024842656249575157
8192,64,moment_quant_approx_intervals,0.1368857919987931,0.0021388404999811424
8192,100,moment_quant_approx_intervals,0.1964922920014942,0.001964922920014942
8192,300,moment_quant_approx_intervals,0.6363682080009312,0.002121227360003104
8192,1000,moment_quant_approx_intervals,2.2091816659994947,0.002209181665999495
8192,3000,moment_quant_approx_intervals,7.935990957998001,0.002645330319332667
16,1,moment_quant_approx_samples,0.0041337920010846,0.0041337920010846
16,2,moment_quant_approx_samples,0.0041357919981237,0.00206789599906185
16,3,moment_quant_approx_samples,0.0041698330023791,0.0013899443341263667
16,4,moment_quant_approx_samples,0.0041897909977706,0.00104744774944265
16,8,moment_quant_approx_samples,0.0042003329981525,0.0005250416247690625
16,10,moment_quant_approx_samples,0.0042411249996803,0.00042411249996803
16,16,moment_quant_approx_samples,0.0042704999978013,0.0002669062498625812
16,30,moment_quant_approx_samples,0.004287291001674,0.0001429097000558
16,32,moment_quant_approx_samples,0.0043252919967926,0.00013516537489976875
16,64,moment_quant_approx_samples,0.0044082079984946,6.887824997647813e-05
16,100,moment_quant_approx_samples,0.0045058329997118,4.5058329997118e-05
16,300,moment_quant_approx_samples,0.0052245419974497,1.7415139991499e-05
16,1000,moment_quant_approx_samples,0.0077390830010699,7.7390830010699e-06
16,3000,moment_quant_approx_samples,0.0149972500003059,4.9990833334353e-06
16,10000,moment_quant_approx_samples,0.0455365829984657,4.55365829984657e-06
32,1,moment_quant_approx_samples,0.0082904580012836,0.0082904580012836
32,2,moment_quant_approx_samples,0.0084646670002257,0.00423233350011285
32,3,moment_quant_approx_samples,0.0085477499997068,0.0028492499999022668
32,4,moment_quant_approx_samples,0.0085956250004528,0.0021489062501132
32,8,moment_quant_approx_samples,0.0086169169990171,0.0010771146248771376
32,10,moment_quant_approx_samples,0.0086419580002257,0.00086419580002257
32,16,moment_quant_approx_samples,0.0087454580025223,0.0005465911251576437
32,30,moment_quant_approx_samples,0.008871124999132,0.00029570416663773333
32,32,moment_quant_approx_samples,0.0088220830002683,0.0002756900937583844
32,64,moment_quant_approx_samples,0.0091130830005567,0.00014239192188369843
32,100,moment_quant_approx_samples,0.0094220410028356,9.422041002835601e-05
32,300,moment_quant_approx_samples,0.0111958339984994,3.7319446661664665e-05
32,1000,moment_quant_approx_samples,0.0170467919997463,1.70467919997463e-05
32,3000,moment_quant_approx_samples,0.0363123749993974,1.2104124999799133e-05
32,10000,moment_quant_approx_samples,0.1093175419991894,1.093175419991894e-05
64,1,moment_quant_approx_samples,0.0170179590022598,0.0170179590022598
