Series length,Number of samples,Estimator,Runtime_single,Runtime_multi,Speedup
8192,1000,moment_quant_approx_samples,2.4657094160011184,1.1787398750020657,2.0918181087212284
8192,3000,moment_quant_approx_samples,7.956391750001785,3.977971208998497,2.000112955067089
16,1,moment_quant_exact_intervals,0.0010872090000475,0.0011044169987144,0.9844189299087835
16,3,moment_quant_exact_intervals,0.0011036250000415,0.0010987920031766,1.004398463813832
16,10,moment_quant_exact_intervals,0.0011205409999774,0.0011137500005133,1.0060974181467746
16,30,moment_quant_exact_intervals,0.0011600000000271,0.0011567499968805,1.0028095985782275
16,100,moment_quant_exact_intervals,0.0013078329999416,0.0013306250002642,0.9828712069004608
16,300,moment_quant_exact_intervals,0.0017515419999654,0.0017805000024964,0.983736027806572
16,1000,moment_quant_exact_intervals,0.0032071660000383,0.0032527920011489,0.9859732804635265
16,3000,moment_quant_exact_intervals,0.007593541999995,0.0076511670013132,0.9924684690180845
16,10000,moment_quant_exact_intervals,0.0247510839999449,0.0238424999988637,1.0381077488151202
32,1,moment_quant_exact_intervals,0.0023902499999621,0.0024227089998021,0.9866021879463645
32,3,moment_quant_exact_intervals,0.002436125000031,0.0024421250018349,0.9975431225676851
32,10,moment_quant_exact_intervals,0.0024768749999566,0.0024772500000835,0.9998486224132054
32,30,moment_quant_exact_intervals,0.0025981659999843,0.0026389589984319,0.9845420112734455
32,100,moment_quant_exact_intervals,0.0030100840000386,0.0030078750023676,1.0007344047439675
32,300,moment_quant_exact_intervals,0.0042183339999155,0.0041912080014299,1.006472119369009
32,1000,moment_quant_exact_intervals,0.0083205419999785,0.0083325419982429,0.9985598634526017
32,3000,moment_quant_exact_intervals,0.0210758330000544,0.0207229589977941,1.0170281667930656
32,10000,moment_quant_exact_intervals,0.069020749999936,0.0680118330019468,1.0148344332663453
64,1,moment_quant_exact_intervals,0.0050442919998658,0.0051192079990869,0.9853657051570355
64,3,moment_quant_exact_intervals,0.0051495000000159,0.0052362909991643,0.9834251001019134
64,10,moment_quant_exact_intervals,0.0052598749998651,0.0053109580003365,0.9903815845525114
64,30,moment_quant_exact_intervals,0.0055845829999725,0.0056591249995108,0.9868279991085647
64,100,moment_quant_exact_intervals,0.0066902920000302,0.0067135829995095,0.9965307646481765
64,300,moment_quant_exact_intervals,0.0100230000000465,0.0099512920023698,1.0072058982551837
64,1000,moment_quant_exact_intervals,0.0212329999999383,0.0213088329983293,0.9964412411324006
64,3000,moment_quant_exact_intervals,0.054410000000189,0.0551868750007997,0.9859228303722681
64,10000,moment_quant_exact_intervals,0.1901200419999895,0.1926132080006937,0.987056100531303
128,1,moment_quant_exact_intervals,0.0064023340000858,0.0064184160000877,0.9974943973713015
128,3,moment_quant_exact_intervals,0.0065605839999989,0.0065503750010975,1.0015585365570199
128,10,moment_quant_exact_intervals,0.0067822080000041,0.0068765420001,0.9862817677701192
128,30,moment_quant_exact_intervals,0.0075188340001659,0.007545458000095,0.9964715196971787
128,100,moment_quant_exact_intervals,0.0100774160000582,0.0101311250000435,0.994698614419912
128,300,moment_quant_exact_intervals,0.0182509579999532,0.0176815000013448,1.032206430368752
128,1000,moment_quant_exact_intervals,0.0444627920001039,0.044050624997908,1.009356666385902
128,3000,moment_quant_exact_intervals,0.1286379170001055,0.1283824579986685,1.0019898279361472
128,10000,moment_quant_exact_intervals,0.473552834000202,0.4642286669986788,1.0200852891352135
192,1,moment_quant_exact_intervals,0.0075427080000736,0.0075824590021511,0.9947575051752706
192,3,moment_quant_exact_intervals,0.0076907500001652,0.0077018750016577,0.998555546345519
192,10,moment_quant_exact_intervals,0.0081438749998596,0.0082412080009817,0.9881894740297168
192,30,moment_quant_exact_intervals,0.0095490419998895,0.0096627909988455,0.9882281424725433
192,100,moment_quant_exact_intervals,0.0145303750000493,0.0143415839993394,1.0131638876653093
192,300,moment_quant_exact_intervals,0.0282881250000173,0.0277927089991862,1.017825394453114
192,1000,moment_quant_exact_intervals,0.0797767499998372,0.0767076250012905,1.04001068992157
192,3000,moment_quant_exact_intervals,0.2350610829998913,0.2339499580011761,1.004749413114704
192,10000,moment_quant_exact_intervals,0.9141595000000962,0.9166223329993954,0.9973131431445268
256,1,moment_quant_exact_intervals,0.0075665839999601,0.0075998330030415,0.9956250350411524
256,3,moment_quant_exact_intervals,0.0078096669999467,0.007938999999169,0.9837091574208543
256,10,moment_quant_exact_intervals,0.0084791670001322,0.0085167500001261,0.9955871664668632
256,30,moment_quant_exact_intervals,0.0102984999998625,0.0103587909979978,0.9941797263650792
256,100,moment_quant_exact_intervals,0.0164329579997684,0.0166073340005823,0.9895000605872211
256,300,moment_quant_exact_intervals,0.0339869580002414,0.0345469160020002,0.9837913751338504
256,1000,moment_quant_exact_intervals,0.1029577499998595,0.1009024589984619,1.020369087352261
256,3000,moment_quant_exact_intervals,0.3001694590002444,0.3116672500000277,0.9631087610270817
256,10000,moment_quant_exact_intervals,1.1752602909996313,1.1714932920003776,1.0032155531960592
384,1,moment_quant_exact_intervals,0.0079578330000913,0.0079747079980734,0.9978839353132207
384,3,moment_quant_exact_intervals,0.0084289169999465,0.0084613330000138,0.9961689251484079
384,10,moment_quant_exact_intervals,0.0094793329999447,0.0095614589990873,0.9914107251675252
384,30,moment_quant_exact_intervals,0.0130369999997128,0.0127065000015136,1.0260103095391988
384,100,moment_quant_exact_intervals,0.023807958999896,0.0236025000012887,1.0087049676346185
384,300,moment_quant_exact_intervals,0.055432957999983,0.0555884160021378,0.9972034101106817
384,1000,moment_quant_exact_intervals,0.1800797500000044,0.1773420419995091,1.0154374448925252
384,3000,moment_quant_exact_intervals,0.5856150839999827,0.5822102919992176,1.0058480450235148
384,10000,moment_quant_exact_intervals,2.15792245800003,2.145371916998556,1.0058500537375508
512,1,moment_quant_exact_intervals,0.0080263330000889,0.0081677910020516,0.9826809963762332
512,3,moment_quant_exact_intervals,0.0088001670001176,0.0088698750005278,0.9921410391458672
