Dtype,l,Method,Run,Runtime
float32,64,argsort,5,9.440040999834309e-07
float32,32768,sort,5,0.0004433506666525015
float64,512,sort,2,9.04774999980873e-06
float32,8,argsort,2,6.568033399889828e-07
float32,16384,argsort,7,0.0009178566800255795
float64,8,argsort,0,6.417250000231434e-07
float64,512,sort,3,9.021625000968925e-06
float64,2048,sort,0,4.176187499979278e-05
float64,1024,sort,8,1.930808199904277e-05
float64,16384,sort,4,0.0004163366799912183
float32,8192,sort,0,9.400165999977617e-05
float64,16384,argsort,3,0.0008861150000302587
float32,4096,argsort,0,0.0001782291700146743
float64,32,argsort,0,7.512833500186389e-07
float64,16384,argsort,1,0.0009384316400246462
float32,32768,sort,9,0.0004448992500935371
float32,1024,argsort,3,1.1897749998752261e-05
float64,256,sort,9,4.23729199974332e-06
float32,32,sort,1,4.820354000003135e-07
float64,512,sort,5,9.087041000384489e-06
float64,1024,argsort,7,9.990834001655457e-06
float64,256,sort,6,4.314145500757149e-06
float32,128,argsort,2,1.4630334000685252e-06
float32,1024,sort,2,8.924834000936243e-06
float64,128,argsort,2,1.3889167999877827e-06
float32,512,sort,5,4.245709000315401e-06
float64,64,sort,9,1.0251416999381035e-06
float32,64,sort,9,5.188541999814334e-07
float32,8,argsort,0,6.534291599746212e-07
float64,32,sort,5,6.835250000222004e-07
float32,16,sort,0,4.689527666414506e-07
float32,128,sort,3,9.621916000469355e-07
float64,2048,sort,3,4.216604499561072e-05
float32,512,argsort,9,4.397540998979821e-06
float32,2048,sort,3,1.96068750028644e-05
float32,128,argsort,6,1.3757749999058434e-06
float64,32768,sort,3,0.0008940729167079553
float64,4096,argsort,8,0.00017141124999398016
float64,64,argsort,4,9.493499999734923e-07
float64,8192,argsort,0,0.0004072649999943678
float32,64,sort,6,5.169707999812089e-07
float64,16384,argsort,8,0.0008890299999620765
float64,32,sort,7,6.356750000122702e-07
float64,1024,argsort,4,1.1656249997031409e-05
float64,256,argsort,0,2.335541499633109e-06
float64,2048,argsort,4,6.835104500169109e-05
float64,2048,sort,6,4.206917000374233e-05
float32,4,argsort,9,6.289708199983579e-07
float64,256,argsort,6,2.327562499885971e-06
float32,8,sort,4,4.642091599816922e-07
float64,32768,argsort,4,0.0019501979168126127
float32,4096,argsort,8,0.00017947084001207258
float64,128,argsort,4,1.4119749997917097e-06
float64,32,argsort,5,7.574999999633291e-07
float64,2048,sort,9,4.204333500638313e-05
float32,4,sort,6,4.592166599832126e-07
float64,32,sort,1,6.649500000094122e-07
float32,256,argsort,4,2.3937084997669444e-06
float32,8,argsort,5,6.547074999980396e-07
float64,8192,sort,6,0.00020021583997731796
float64,32,argsort,8,7.646562500667642e-07
float32,8,argsort,3,6.491824999829987e-07
float64,16,sort,7,4.695624999537055e-07
float64,4096,sort,0,9.008207998704166e-05
float32,4096,argsort,6,0.00017140833999292225
float32,512,argsort,8,4.487459000301896e-06
float32,1024,sort,4,8.898500000213972e-06
float32,4096,argsort,2,0.00018019332999756445
float32,128,sort,9,9.532584001135546e-07
float32,256,argsort,9,2.3390830001517315e-06
float64,32768,argsort,2,0.0038399514166182294
float32,4096,argsort,1,0.00017950875000678933
float64,32768,sort,8,0.0009006145833154733
float32,16384,sort,0,0.00020666000003984663
float64,256,sort,5,4.271603999768558e-06
float32,512,argsort,2,4.458583000086946e-06
float32,8,sort,7,4.6955665999121265e-07
float32,32,argsort,5,7.428291999531211e-07
float32,16384,argsort,9,0.0008962099999916972
float32,8,sort,8,4.7348916003102206e-07
float64,32768,sort,7,0.0008930972499001655
float32,16384,sort,9,0.00020608164006262087
float32,512,argsort,0,4.449834001206909e-06
float32,32,argsort,3,7.573500000034983e-07
float32,32768,argsort,3,0.0019317500000397558
float32,2048,sort,9,1.9728960005522822e-05
float32,512,sort,0,4.1090839986281935e-06
float32,32768,argsort,7,0.0019215589998869593
float32,8192,argsort,2,0.0004012466800122638
float64,1024,sort,2,1.9456500001979295e-05
float64,16,argsort,7,6.91594466661627e-07
float64,8,argsort,1,6.664466599977459e-07
float64,256,argsort,2,2.3884584998086213e-06
float64,512,argsort,0,4.433457999766688e-06
float64,256,sort,1,4.278395999790519e-06
float32,4,argsort,3,6.450583200057736e-07
float64,1024,argsort,3,9.751083998708055e-06
float64,16,argsort,4,6.934861000142216e-07
float64,16384,argsort,2,0.000920174999992014
float32,8,sort,1,4.725599999801489e-07
float64,2048,argsort,7,7.031562500742439e-05
float32,128,argsort,9,1.4221168003132335e-06
float64,64,sort,7,1.0192666000875761e-06
float32,256,sort,2,1.9424795000304582e-06
float32,4096,argsort,5,0.0001733862499895622
float32,1024,argsort,2,1.640358399890829e-05
float32,256,sort,0,1.9039170001633464e-06
float64,16384,argsort,4,0.0008995266800047829
float32,128,sort,4,9.536083998682443e-07
float32,32,sort,0,4.897521000202687e-07
float32,4096,sort,8,4.387291000966798e-05
float32,64,argsort,8,9.465999999520136e-07
float32,32768,argsort,5,0.001948510416696081
float64,4,argsort,4,6.441966599959414e-07
float64,4,argsort,0,6.450416599909659e-07
float32,512,argsort,3,4.402499998832355e-06
float64,8,argsort,9,6.554099999993923e-07
float64,512,sort,4,9.077917000468006e-06
float64,2048,argsort,6,3.936916499696963e-05
float64,256,argsort,8,2.327187500668515e-06
float64,512,argsort,3,4.471875001399894e-06
float64,512,sort,8,9.583166000084021e-06
float64,8192,sort,2,0.0001992333200178109
float64,4096,argsort,1,0.00017622166000364815
float64,4,argsort,2,6.40193340004771e-07
float64,64,sort,6,1.010695799959649e-06
float32,32768,sort,3,0.0004466249999192466
float32,128,sort,6,9.568916000716854e-07
float32,512,sort,2,4.119584000363829e-06
float64,1024,sort,5,1.939683200180298e-05
float64,8,sort,6,4.674108399922261e-07
float64,128,argsort,1,1.4382084002136253e-06
float32,32768,sort,0,0.00044749658339545323
float32,4,argsort,4,6.372924999959651e-07
float32,32,sort,9,4.828666499633982e-07
float32,512,sort,9,4.10162499974831e-06
float32,32,argsort,6,7.695917000091868e-07
float64,4096,sort,7,9.215082998707658e-05
float64,8,sort,9,4.676774999825284e-07
float64,2048,sort,5,4.2016874995169926e-05
float32,512,sort,6,4.101832999367616e-06
float32,16,sort,2,4.7471943332008476e-07
float64,64,argsort,2,9.59737500124902e-07
float64,16,argsort,3,6.853000000167716e-07
float64,256,sort,3,4.288166500373336e-06
float32,8,sort,2,4.657800000131829e-07
float32,8,sort,0,4.728474999865284e-07
float64,16,argsort,9,6.811180333291607e-07
float64,128,sort,8,2.083091800159309e-06
float64,512,argsort,4,4.5572919989353975e-06
float64,1024,sort,3,1.970325000002049e-05
float32,32,argsort,2,7.655541499843821e-07
float64,32,sort,4,6.77629150050052e-07
float64,256,argsort,9,2.399374999185966e-06
float64,8192,argsort,1,0.0003974791600194294
float64,16384,sort,6,0.0004256583199457964
float32,64,sort,4,5.240791999312933e-07
float64,256,sort,8,4.327187499256979e-06
float64,8,sort,1,4.7364999998535497e-07
float64,128,sort,7,2.0947916000295664e-06
float64,4,sort,9,4.603175000011106e-07
float32,4,sort,3,4.612216600071406e-07
float64,256,argsort,1,2.336874999855354e-06
float64,2048,sort,1,4.1747914992811274e-05
float64,4,sort,6,4.5291833997907815e-07
float32,256,sort,1,1.907957999719656e-06
float64,16,sort,1,4.709847333288053e-07
float64,128,sort,0,2.0504331998381532e-06
float64,16384,argsort,6,0.000892658320008195
float32,128,argsort,1,1.3918000000558095e-06
float32,2048,argsort,5,5.011437499888416e-05
float32,64,argsort,4,9.240417000910384e-07
float32,16384,argsort,2,0.0009229700000287266
float32,4,argsort,2,6.376408399955835e-07
float64,2048,argsort,9,4.0083750000121655e-05
float32,4,sort,9,4.576883400295628e-07
float64,512,sort,9,9.465375000218046e-06
float32,512,sort,8,4.139624999879743e-06
float32,16,argsort,5,6.886499999988397e-07
float32,8192,sort,8,9.436250002181623e-05
float32,2048,argsort,9,6.290583500231151e-05
float32,256,sort,6,1.929708500028937e-06
float32,2048,sort,0,1.9565000002330635e-05
float64,64,sort,4,1.0398708000138868e-06
float32,16384,sort,7,0.00020985831994039473
float64,16,argsort,0,6.926722333446378e-07
float32,512,argsort,6,4.593208001097082e-06
float64,512,sort,6,9.0564580004866e-06
float32,16384,sort,5,0.0002065733199560782
float32,128,sort,1,9.502834000159055e-07
float64,1024,argsort,2,9.635999998863553e-06
float64,32,argsort,1,7.537395499639388e-07
float32,1024,sort,6,9.100584000407252e-06
float32,2048,argsort,3,5.0220835000800434e-05
float32,32768,sort,4,0.0004451944999649034
float32,64,sort,5,5.160750000868575e-07
float64,64,argsort,0,9.423458001037943e-07
float64,16384,sort,3,0.00042728831998829265
float64,1024,argsort,6,9.748833999765338e-06
float64,128,sort,9,2.0844083999691065e-06
float64,32768,argsort,8,0.002002836833374507
float32,16,sort,3,4.6949306664221997e-07
float32,4096,argsort,9,0.00015893457999482052
float32,16384,argsort,3,0.000901633320027031
float64,2048,argsort,2,7.573833499918692e-05
float64,1024,sort,0,1.9420165997871665e-05
float64,4096,sort,4,9.035540999320802e-05
float32,8192,argsort,7,0.0004115141599686467
float64,8192,argsort,7,0.00041681499998958316
float64,512,argsort,9,4.467666998607456e-06
float32,2048,argsort,2,5.0491040001361396e-05
float32,4,argsort,8,6.367016600052012e-07
float64,1024,argsort,0,9.173668000585167e-06
float64,1024,argsort,1,9.185332000924973e-06
float32,4,sort,4,4.52031659988279e-07
float32,32768,argsort,8,0.001999503499973798
float32,32768,argsort,4,0.001955986083279034
float32,64,argsort,7,9.175790999506717e-07
float32,4,argsort,0,6.642883400127176e-07
float32,8192,sort,3,9.808167997107375e-05
float64,16384,argsort,7,0.0009270266399835236
float64,64,argsort,5,9.169042001303752e-07
float64,32768,argsort,9,0.0019693854166386395
float64,64,sort,0,1.017133300047135e-06
float32,32768,argsort,2,0.001988850666596894
float32,256,argsort,0,2.3620209994987818e-06
float32,8192,sort,2,9.569249999913154e-05
float64,128,argsort,7,1.4141499999823282e-06
float64,256,argsort,3,2.336874999855354e-06
