Dtype,l,Method,Run,Runtime
float64,32,argsort,8,2.7402083500419396e-06
float32,8,argsort,3,2.613355839966971e-06
float64,16,sort,7,2.770412499982437e-06
float64,4096,sort,0,0.00017005333000270185
float32,4096,argsort,6,0.00014555167001162773
float32,512,argsort,8,7.747875000859494e-06
float32,1024,sort,4,1.3719418002438032e-05
float32,4096,argsort,2,0.0001320783300070616
float32,128,sort,9,3.543666800032952e-06
float32,256,argsort,9,4.5590834997710775e-06
float64,32768,argsort,2,0.0020287430832771256
float32,4096,argsort,1,0.00015504249999139574
float64,32768,sort,8,0.0020136145834233807
float32,16384,sort,0,0.0008733583200228168
float64,256,sort,5,4.7593954996045795e-06
float32,512,argsort,2,7.391625000309432e-06
float32,8,sort,7,2.7094358400063356e-06
float32,32,argsort,5,2.7432978999968326e-06
float32,16384,argsort,9,0.0008729733200016199
float32,8,sort,8,2.722516680005356e-06
float64,32768,sort,7,0.002029295166569985
float32,16384,sort,9,0.000858016679994762
float32,512,argsort,0,7.4341249983262965e-06
float32,32,argsort,3,2.7670458500324456e-06
float32,32768,argsort,3,0.0018646596666561284
float32,2048,sort,9,4.760312499456632e-05
float32,512,sort,0,7.3088339995592836e-06
float32,32768,argsort,7,0.0018836111667042132
float32,8192,argsort,2,0.00038823666000098456
float64,1024,sort,2,2.8512084001704353e-05
float64,16,argsort,7,2.6978166666594917e-06
float64,8,argsort,1,2.582284999989497e-06
float64,256,argsort,2,4.645145500035142e-06
float64,512,argsort,0,7.455667000613175e-06
float64,256,sort,1,4.7674374991402145e-06
float32,4,argsort,3,2.6025325000227896e-06
float64,1024,argsort,3,1.3398999999481021e-05
float64,16,argsort,4,2.6331125000069735e-06
float64,16384,argsort,2,0.0008861050000268733
float32,8,sort,1,2.703051680000499e-06
float64,2048,argsort,7,5.7503124999129796e-05
float32,128,argsort,9,3.3396584000001896e-06
float64,64,sort,7,3.1279750000976492e-06
float32,256,sort,2,4.637042000467773e-06
float32,4096,argsort,5,0.000156148750011198
float32,1024,argsort,2,1.369958199938992e-05
float32,256,sort,0,4.8395415005870745e-06
float64,16384,argsort,4,0.0008931983199727256
float32,128,sort,4,3.573941599825048e-06
float32,32,sort,0,2.8460520999942673e-06
float32,4096,sort,8,0.00013604041998405592
float32,64,argsort,8,2.9497124998670187e-06
float32,32768,argsort,5,0.0019088924166984118
float64,4,argsort,4,2.570492500017281e-06
float64,4,argsort,0,2.6198649999787448e-06
float32,512,argsort,3,7.46995900044567e-06
float64,8,argsort,9,2.5890183199953753e-06
float64,512,sort,4,7.384917000308633e-06
float64,2048,argsort,6,6.364437499541963e-05
float64,256,argsort,8,4.85995799954253e-06
float64,512,argsort,3,8.12262499857752e-06
float64,512,sort,8,7.758124998872517e-06
float64,8192,sort,2,0.00040230750000773695
float64,4096,argsort,1,0.0001743191700006719
float64,4,argsort,2,2.5713275000089198e-06
float64,64,sort,6,3.1574374999763675e-06
float32,32768,sort,3,0.001968736166721404
float32,128,sort,6,3.5235000003012827e-06
float32,512,sort,2,7.551958000476588e-06
float64,1024,sort,5,1.3832083997840527e-05
float64,8,sort,6,2.6940933199875872e-06
float64,128,argsort,1,3.2653665999532676e-06
float32,32768,sort,0,0.0019005729166868453
float32,4,argsort,4,2.566241680033272e-06
float32,32,sort,9,2.8173416500067104e-06
float32,512,sort,9,7.275625001057051e-06
float32,32,argsort,6,2.695208349996392e-06
float64,4096,sort,7,0.00016865416000655387
float64,8,sort,9,2.709816659989883e-06
float64,2048,sort,5,5.6214165006167605e-05
float32,512,sort,6,7.484333000320476e-06
float32,16,sort,2,2.781152766692685e-06
float64,64,argsort,2,2.9652125000211526e-06
float64,16,argsort,3,2.6958499999940007e-06
float64,256,sort,3,4.737979500532674e-06
float32,8,sort,2,2.6703449999695295e-06
float32,8,sort,0,2.765781660018547e-06
float64,16,argsort,9,2.633306966708915e-06
float64,128,sort,8,3.4642665999854217e-06
float64,512,argsort,4,7.281000000148196e-06
float64,1024,sort,3,1.5731415998743613e-05
float32,32,argsort,2,2.7383353999539394e-06
float64,32,sort,4,2.851304199975857e-06
float64,256,argsort,9,4.68370850012434e-06
float64,8192,argsort,1,0.0003967499999998836
float64,16384,sort,6,0.0009026816800178494
float32,64,sort,4,3.1410499999765306e-06
float64,256,sort,8,4.845062499953201e-06
float64,8,sort,1,2.7222949999850243e-06
float64,128,sort,7,3.466083199964487e-06
float64,4,sort,9,2.677503320010146e-06
float32,4,sort,3,2.714589999995951e-06
float64,256,argsort,1,4.663728999730666e-06
float64,2048,sort,1,5.732104000344407e-05
float64,4,sort,6,2.7072133399997258e-06
float32,256,sort,1,4.768167000293033e-06
float64,16,sort,1,2.742920833346337e-06
float64,128,sort,0,3.4892333998868707e-06
float64,16384,argsort,6,0.0008911433599860175
float32,128,argsort,1,3.4530584001913667e-06
float32,2048,argsort,5,2.7972710004178225e-05
float32,64,argsort,4,3.045974999986356e-06
float32,16384,argsort,2,0.0008598583199636778
