Dataset,SeriesLength,Representation,Depth,Column,Correlation
ECG200,96,diff1,5,256,0.9942514840739327
ECG200,96,diff1,5,257,0.9948069211189356
ECG200,96,diff1,5,258,0.9893879277520533
ECG200,96,diff1,5,259,0.9754380532372919
ECG200,96,diff1,5,260,0.9721690923572137
ECG200,96,diff1,5,261,0.9763790533273364
ECG200,96,diff1,5,262,0.9768330235771073
ECG200,96,diff1,5,263,0.9792145194421795
ECG200,96,diff1,5,264,0.9889834964612502
ECG200,96,diff1,5,265,0.9677595539440037
ECG200,96,diff1,5,266,0.9895945338397418
ECG200,96,diff1,5,267,0.9786022773103996
ECG200,96,diff1,5,268,0.9623526893936806
ECG200,96,diff1,5,269,0.990232841664361
ECG200,96,diff1,5,270,0.9926654392620927
ECG200,96,diff1,5,271,0.9942163149316547
ECG200,96,diff2,0,1,0.8151258527449147
ECG200,96,diff2,0,2,0.9024309481445905
ECG200,96,diff2,0,3,0.8690864166648543
ECG200,96,diff2,0,4,0.8212959322833993
ECG200,96,diff2,0,5,0.7828776548315582
ECG200,96,diff2,0,6,0.7296967614937845
ECG200,96,diff2,0,7,0.7102091026121325
ECG200,96,diff2,0,8,0.6573962388531477
ECG200,96,diff2,0,9,0.5832848581993476
ECG200,96,diff2,0,10,0.44996745203063193
ECG200,96,diff2,0,11,0.26093671250601885
ECG200,96,diff2,0,12,0.16410768313369392
ECG200,96,diff2,0,13,0.2776558255326326
ECG200,96,diff2,0,14,0.48080283480946123
ECG200,96,diff2,0,15,0.5624345273132983
ECG200,96,diff2,0,16,0.648654145548992
ECG200,96,diff2,0,17,0.700915576315615
ECG200,96,diff2,0,18,0.7715071415285023
ECG200,96,diff2,0,19,0.8174398499789005
ECG200,96,diff2,0,20,0.8893543900415949
ECG200,96,diff2,0,21,0.9310830162488283
ECG200,96,diff2,0,22,0.8283745510981612
ECG200,96,diff2,1,25,0.8639492644421545
ECG200,96,diff2,1,26,0.9098385474879067
ECG200,96,diff2,1,27,0.8308478474250364
ECG200,96,diff2,1,28,0.6840702542189477
ECG200,96,diff2,1,29,0.31756009401372154
ECG200,96,diff2,1,30,0.29334534238885646
ECG200,96,diff2,1,31,0.6348749403795444
ECG200,96,diff2,1,32,0.820669772284066
ECG200,96,diff2,1,33,0.923339034164779
ECG200,96,diff2,1,34,0.8830076242134683
ECG200,96,diff2,1,37,0.9392740940743632
ECG200,96,diff2,1,38,0.9537880702313046
ECG200,96,diff2,1,39,0.9158649288054893
ECG200,96,diff2,1,40,0.7924784161054044
ECG200,96,diff2,1,41,0.5321008302263699
ECG200,96,diff2,1,42,0.35036015797870773
ECG200,96,diff2,1,43,0.8190014237055394
ECG200,96,diff2,1,44,0.9126618951333069
ECG200,96,diff2,1,45,0.9577116278132476
ECG200,96,diff2,1,46,0.9661277821383875
ECG200,96,diff2,1,49,0.977170778558052
ECG200,96,diff2,1,50,0.9664643797861066
ECG200,96,diff2,1,51,0.9648260175894283
ECG200,96,diff2,1,52,0.9342614413494227
ECG200,96,diff2,1,53,0.6150034269096205
ECG200,96,diff2,1,54,0.551862876057709
ECG200,96,diff2,1,55,0.9079949313242981
ECG200,96,diff2,1,56,0.964744378112436
ECG200,96,diff2,1,57,0.9846075672719882
ECG200,96,diff2,1,58,0.9850749985176134
ECG200,96,diff2,2,61,0.8602019191997556
ECG200,96,diff2,2,62,0.6619552467850325
ECG200,96,diff2,2,63,0.5391081029314998
ECG200,96,diff2,2,64,0.856111104739353
ECG200,96,diff2,2,67,0.9540634238384493
ECG200,96,diff2,2,68,0.8041432073094577
ECG200,96,diff2,2,69,0.8581466219928945
ECG200,96,diff2,2,70,0.9682733735805575
ECG200,96,diff2,2,73,0.9645899320331787
ECG200,96,diff2,2,74,0.8003127264601602
ECG200,96,diff2,2,75,0.8134169122547491
ECG200,96,diff2,2,76,0.9606341048702821
ECG200,96,diff2,2,79,0.9255237745754993
ECG200,96,diff2,2,80,0.7309359985957492
ECG200,96,diff2,2,81,0.6605075488010053
ECG200,96,diff2,2,82,0.939667875700905
ECG200,96,diff2,2,85,0.9500545940688556
ECG200,96,diff2,2,86,0.7942283607092586
ECG200,96,diff2,2,87,0.8812809741097526
ECG200,96,diff2,2,88,0.962624447416991
ECG200,96,diff2,2,91,0.964055279893543
ECG200,96,diff2,2,92,0.8282568122652295
ECG200,96,diff2,2,93,0.8074387550814746
ECG200,96,diff2,2,94,0.974811554616707
ECG200,96,diff2,2,97,0.9666998681685621
ECG200,96,diff2,2,98,0.7951169758225177
ECG200,96,diff2,2,99,0.8173072952063353
ECG200,96,diff2,2,100,0.9579844829623385
ECG200,96,diff2,3,103,0.6180207333894843
ECG200,96,diff2,3,106,0.588002510020929
ECG200,96,diff2,3,109,0.6041656151551704
ECG200,96,diff2,3,112,0.7083685102469682
ECG200,96,diff2,3,115,0.570117227234629
ECG200,96,diff2,3,118,0.7269906251979582
ECG200,96,diff2,3,121,0.6963284282255496
ECG200,96,diff2,3,124,0.5729963884320022
ECG200,96,diff2,3,127,0.5685920488762141
ECG200,96,diff2,3,130,0.7442561838652967
ECG200,96,diff2,3,133,0.6604138887949504
ECG200,96,diff2,3,136,0.6653249938808068
ECG200,96,diff2,3,139,0.521662819741154
ECG200,96,diff2,3,142,0.6358312605530864
ECG200,96,diff2,3,145,0.7098829140279838
ECG200,96,diff2,5,209,1.0
ECG200,96,diff2,5,210,0.8100010657776718
ECG200,96,diff2,5,211,0.704041211862734
ECG200,96,diff2,5,212,0.8070713031423231
ECG200,96,diff2,5,213,0.8268835329949856
ECG200,96,diff2,5,214,0.7960666831093846
ECG200,96,diff2,5,215,0.8369544676009903
ECG200,96,diff2,5,216,0.8485998479999695
ECG200,96,diff2,5,217,0.838625859588036
ECG200,96,diff2,5,218,0.705752541644064
ECG200,96,diff2,5,219,0.8848222415987577
ECG200,96,diff2,5,220,0.7990331153318946
ECG200,96,diff2,5,221,0.8895917890400011
ECG200,96,diff2,5,222,0.8562928412801109
ECG200,96,diff2,5,223,0.8541930692377168
ECG200,96,diff2,5,224,0.8440547830040905
ECG200,96,diff2,5,225,1.0
ECG200,96,diff2,5,226,0.8932544022882377
ECG200,96,diff2,5,227,0.8468711313216996
ECG200,96,diff2,5,228,0.8122380699238867
ECG200,96,diff2,5,229,0.713429071026574
ECG200,96,diff2,5,230,0.8622469105666445
ECG200,96,diff2,5,231,0.8793564693832774
ECG200,96,diff2,5,232,0.8273862360353317
ECG200,96,diff2,5,233,0.8047800717580738
ECG200,96,diff2,5,234,0.7946960317142931
ECG200,96,diff2,5,235,0.8100311920710794
ECG200,96,diff2,5,236,0.8382784780247153
ECG200,96,diff2,5,237,0.7591511693244112
ECG200,96,diff2,5,238,0.8903707356067264
ECG200,96,diff2,5,239,0.8132267810079541
ECG200,96,diff2,5,240,0.8118829234015972
ECG200,96,diff2,5,241,1.0
ECG200,96,diff2,5,242,0.784515699059385
ECG200,96,diff2,5,243,0.816018145413311
ECG200,96,diff2,5,244,0.8039078332564328
ECG200,96,diff2,5,245,0.8163385500773901
ECG200,96,diff2,5,246,0.797864767048532
ECG200,96,diff2,5,247,0.8240708591519671
ECG200,96,diff2,5,248,0.7860289043784834
ECG200,96,diff2,5,249,0.8048726040017229
