Dataset,SeriesLength,LengthBin,Estimator,Stage,MeanTime,PctOfTotal
AsphaltPavementTypeUni,2371,Long,moment_quant_approx,Classification (inference),0.036396333265777944,0.20696937587868006
AsphaltPavementTypeUni,2371,Long,moment_quant_approx,Classification (training),15.790559555601309,89.7937226844457
AsphaltPavementTypeUni,2371,Long,moment_quant_approx,Transformation (inference),0.8692693459001021,4.943138988140241
AsphaltPavementTypeUni,2371,Long,moment_quant_approx,Transformation (training),0.8891460846653596,5.056168951535401
AsphaltPavementTypeUni,2371,Long,moment_quant_exact,Classification (inference),0.035912389000198594,0.17887725200924112
AsphaltPavementTypeUni,2371,Long,moment_quant_exact,Classification (training),15.945044641666755,79.42122058909118
AsphaltPavementTypeUni,2371,Long,moment_quant_exact,Transformation (inference),2.0245154347328933,10.083978473649065
AsphaltPavementTypeUni,2371,Long,moment_quant_exact,Transformation (training),2.071082041566357,10.31592368525052
AsphaltPavementTypeUni,2371,Long,quant,Classification (inference),0.03922233876752818,0.16859158733062143
AsphaltPavementTypeUni,2371,Long,quant,Classification (training),15.95676475406702,68.58786046630765
AsphaltPavementTypeUni,2371,Long,quant,Transformation (inference),3.612047994498668,15.525869288831686
AsphaltPavementTypeUni,2371,Long,quant,Transformation (training),3.6566718820661968,15.717678657530048
AsphaltRegularityUni,4201,Long,moment_quant_approx,Classification (inference),0.02877311673461609,0.21711411342880718
AsphaltRegularityUni,4201,Long,moment_quant_approx,Classification (training),10.839409402768554,81.7912353493036
AsphaltRegularityUni,4201,Long,moment_quant_approx,Transformation (inference),1.1907401777328535,8.98500153448803
AsphaltRegularityUni,4201,Long,moment_quant_approx,Transformation (training),1.1936090153331558,9.006649002779552
AsphaltRegularityUni,4201,Long,moment_quant_exact,Classification (inference),0.028067219466417208,0.17922560665049647
AsphaltRegularityUni,4201,Long,moment_quant_exact,Classification (training),10.192182256899347,65.08304288106922
AsphaltRegularityUni,4201,Long,moment_quant_exact,Transformation (inference),2.7182265707995006,17.35746594877171
AsphaltRegularityUni,4201,Long,moment_quant_exact,Transformation (training),2.721797052733018,17.380265563508576
AsphaltRegularityUni,4201,Long,quant,Classification (inference),0.032067655400896865,0.1608463128326916
AsphaltRegularityUni,4201,Long,quant,Classification (training),10.190152292932908,51.11220022265847
AsphaltRegularityUni,4201,Long,quant,Transformation (inference),4.849969018066379,24.326681329092402
AsphaltRegularityUni,4201,Long,quant,Transformation (training),4.864640691767272,24.40027213541643
BME,128,Short,moment_quant_approx,Classification (inference),0.005108751433726813,4.210307432741463
BME,128,Short,moment_quant_approx,Classification (training),0.071531094466142,58.95137052757893
BME,128,Short,moment_quant_approx,Transformation (inference),0.02426094443314161,19.994324640231838
BME,128,Short,moment_quant_approx,Transformation (training),0.02043836400043796,16.84399739944777
BME,128,Short,moment_quant_exact,Classification (inference),0.00534563896677956,4.3911976900658125
BME,128,Short,moment_quant_exact,Classification (training),0.07404259589917876,60.82260289172236
