Series length,Number of samples,Estimator,Run,Runtime
9,30,moment_quant_exact_intervals,11,0.0005652499999087013
9,30,moment_quant_exact_intervals,4,0.0005475419999356745
9,30,moment_quant_approx_intervals,11,0.0022703329999558264
9,30,moment_quant_exact_intervals,6,0.0005567079999764246
9,30,moment_quant_approx_samples,27,0.0017389590000220778
9,30,moment_quant_exact_samples,22,0.0004479579999951966
9,30,moment_quant_exact_samples,8,0.00043862500001523586
9,30,moment_quant_approx_samples,15,0.0017307500000924847
9,30,moment_quant_approx_samples,0,0.0017199169999457808
9,30,moment_quant_exact_samples,10,0.00045112499992683297
9,30,moment_quant_exact_samples,12,0.00044583399994735373
9,30,moment_quant_exact_samples,19,0.0004405839999890304
9,30,moment_quant_approx_intervals,18,0.0022871250000662258
9,30,moment_quant_exact_samples,0,0.00043887499998618296
9,30,moment_quant_approx_intervals,25,0.0023039579999704074
9,30,moment_quant_exact_samples,25,0.00045058299997435824
9,30,moment_quant_approx_intervals,22,0.0022804170000654267
9,30,moment_quant_approx_intervals,26,0.0022696659999610347
9,30,moment_quant_approx_intervals,16,0.002259416000015335
9,30,moment_quant_exact_intervals,17,0.0005639580000433853
9,30,moment_quant_exact_samples,20,0.00044941700002709695
9,30,moment_quant_exact_intervals,12,0.0005526249999547872
9,30,moment_quant_exact_samples,17,0.00044774999992114317
9,30,moment_quant_exact_samples,15,0.0004495839999663076
9,30,moment_quant_approx_intervals,10,0.002321875000006912
9,30,moment_quant_approx_intervals,23,0.0023060839999970995
9,30,moment_quant_approx_intervals,24,0.002331541999978981
9,30,moment_quant_approx_samples,23,0.001735624999923857
9,30,moment_quant_approx_samples,28,0.0017229579999593625
9,30,moment_quant_exact_samples,28,0.00047241699996902753
9,30,moment_quant_approx_samples,19,0.0017251660000283664
9,30,moment_quant_exact_samples,26,0.00043866699991212954
9,30,moment_quant_approx_intervals,2,0.0022732090000090466
9,30,moment_quant_approx_intervals,1,0.0022583329999861235
9,30,moment_quant_approx_samples,1,0.0017293749999680585
9,30,moment_quant_approx_intervals,13,0.0022644590000027165
9,30,moment_quant_exact_intervals,7,0.0006050829999821872
9,30,moment_quant_approx_samples,29,0.001748124999949141
9,30,moment_quant_approx_intervals,4,0.0022815840000021126
9,30,moment_quant_exact_intervals,28,0.000562166999998226
9,30,moment_quant_exact_intervals,24,0.0005475829999568305
9,100,moment_quant_approx_intervals,28,0.0025290840000025128
9,100,moment_quant_exact_intervals,0,0.0006258749999688007
9,100,moment_quant_exact_samples,18,0.001380290999918543
9,100,moment_quant_approx_samples,9,0.0020466249999344654
9,100,moment_quant_approx_intervals,14,0.0029767500000161817
9,100,moment_quant_approx_samples,17,0.0022866670000212252
9,100,moment_quant_exact_samples,29,0.0014036249999662687
9,100,moment_quant_exact_intervals,16,0.0006717090000165626
9,100,moment_quant_exact_intervals,29,0.000623291000010795
9,100,moment_quant_exact_intervals,24,0.0006132920000254671
