Series length,Number of samples,Estimator,Run,Runtime
15,1000,quant_float64,6,0.006337332997645717
15,1000,quant_float64,7,0.006355291996442247
15,1000,quant_float64,8,0.006339583997032605
15,1000,quant_float64,9,0.006345499998133164
15,3000,quant_float64,0,0.01337891699949978
15,3000,quant_float64,1,0.013254249999590684
15,3000,quant_float64,2,0.013188916003855411
15,3000,quant_float64,3,0.013277333004225511
15,3000,quant_float64,4,0.013242707995232195
15,3000,quant_float64,5,0.013219916996604297
15,3000,quant_float64,6,0.013313333998667076
15,3000,quant_float64,7,0.013266874993860256
15,3000,quant_float64,8,0.013248417002614588
15,3000,quant_float64,9,0.013178792003600392
15,10000,quant_float64,0,0.03845050000381889
15,10000,quant_float64,1,0.038380291996872984
15,10000,quant_float64,2,0.03892483299568994
15,10000,quant_float64,3,0.03814300000522053
15,10000,quant_float64,4,0.03865075000067009
15,10000,quant_float64,5,0.03893670799880056
15,10000,quant_float64,6,0.03816737500164891
15,10000,quant_float64,7,0.03809437499876367
15,10000,quant_float64,8,0.03802649999852292
15,10000,quant_float64,9,0.03823512500093784
16,1,quant_float64,0,0.003332459004013799
16,1,quant_float64,1,0.0033190419999300502
16,1,quant_float64,2,0.0032698750001145527
16,1,quant_float64,3,0.003236500000639353
16,1,quant_float64,4,0.003240124999138061
16,1,quant_float64,5,0.003208249996532686
16,1,quant_float64,6,0.0033525420003570616
16,1,quant_float64,7,0.0034092499990947545
16,1,quant_float64,8,0.003307541999674868
16,1,quant_float64,9,0.003214917000150308
16,3,quant_float64,0,0.003424249996896833
16,3,quant_float64,1,0.003491291994578205
16,3,quant_float64,2,0.003475500001513865
16,3,quant_float64,3,0.003455208003288135
16,3,quant_float64,4,0.003432082994550001
16,3,quant_float64,5,0.003417333005927503
16,3,quant_float64,6,0.0034050000031129457
16,3,quant_float64,7,0.0034234999984619208
16,3,quant_float64,8,0.003444916997977998
16,3,quant_float64,9,0.003431958000874147
16,10,quant_float64,0,0.0034604159955051728
16,10,quant_float64,1,0.003438708998146467
16,10,quant_float64,2,0.003452124998148065
16,10,quant_float64,3,0.003442249995714519
16,10,quant_float64,4,0.0034213339968118817
16,10,quant_float64,5,0.003427083996939473
16,10,quant_float64,6,0.003459749998000916
16,10,quant_float64,7,0.00344670800404856
16,10,quant_float64,8,0.0034745420052786358
16,10,quant_float64,9,0.0034690419997787103
16,30,quant_float64,0,0.003514166994136758
16,30,quant_float64,1,0.0035897920024581254
16,30,quant_float64,2,0.0035740419989451766
16,30,quant_float64,3,0.0035090829987893812
16,30,quant_float64,4,0.0035077089996775612
16,30,quant_float64,5,0.0035065000047325157
